city,latitude,longitude,temperature_c,humidity
Roorkee,29.867,77.894,32.1,60
Delhi,28.6139,77.2090,35.2,55
Mumbai,19.0760,72.8777,30.4,80
Chennai,13.0827,80.2707,33.0,75
Kolkata,22.5726,88.3639,31.7,78
Bengaluru,12.9716,77.5946,28.5,65
Hyderabad,17.3850,78.4867,31.2,68
Ahmedabad,23.0225,72.5714,34.5,50
Jaipur,26.9124,75.7873,36.0,45
Lucknow,26.8467,80.9462,33.8,58
Bhopal,23.2599,77.4126,32.4,62
Patna,25.5941,85.1376,34.1,70
Pune,18.5204,73.8567,29.6,72
Nagpur,21.1458,79.0882,35.0,52
Thiruvananthapuram,8.5241,76.9366,29.2,85
Visakhapatnam,17.6868,83.2185,31.3,76
Surat,21.1702,72.8311,32.7,69
Kanpur,26.4499,80.3319,34.4,60
Ludhiana,30.9010,75.8573,33.2,57
Agra,27.1767,78.0081,36.3,49
Vadodara,22.3072,73.1812,33.5,54
Nashik,20.0059,73.7646,30.2,66
Faridabad,28.4089,77.3178,35.6,53
Meerut,28.9845,77.7064,34.9,55
Rajkot,22.3039,70.8022,35.1,48
Varanasi,25.3176,82.9739,34.6,61
Srinagar,34.0837,74.7973,21.0,50
Amritsar,31.6340,74.8723,32.2,55
Ranchi,23.3441,85.3096,30.9,72
Guwahati,26.1445,91.7362,31.0,77
Jodhpur,26.2389,73.0243,37.0,40
Madurai,9.9252,78.1198,32.0,74
Raipur,21.2514,81.6296,33.6,67
Gwalior,26.2183,78.1828,35.4,52
Jabalpur,23.1815,79.9864,34.2,58
Coimbatore,11.0168,76.9558,30.0,70
Bhubaneswar,20.2961,85.8245,32.8,73
Warangal,17.9784,79.5941,33.1,69
Amravati,20.9374,77.7796,34.0,61
Solapur,17.6599,75.9064,33.8,65
Hubli,15.3647,75.1240,31.7,68
Tiruchirappalli,10.7905,78.7047,32.4,72
Bareilly,28.3670,79.4304,33.9,56
Moradabad,28.8386,78.7733,34.1,57
Panipat,29.3909,76.9635,35.7,54
Bilaspur,22.0797,82.1391,32.6,66
Udaipur,24.5854,73.7125,34.3,53
Shimla,31.1048,77.1734,22.5,60
Dehradun,30.3165,78.0322,29.4,64
Mangalore,12.9141,74.8560,30.6,78
Guntur,16.3067,80.4365,33.3,74
Dhanbad,23.7957,86.4304,33.2,68
Nellore,14.4426,79.9865,32.9,73
Jamnagar,22.4707,70.0577,33.7,59
Noida,28.5355,77.3910,35.0,55
Ghaziabad,28.6692,77.4538,34.8,56
